graphs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
AML-73-001,3.3489,-2.0419424,-0.43057805,1.0899718,-1.2228647,0.35622805,1.862198,0.5835364,0.32366046,0.9183853,0.4462078,0.97570443,0.63751864,-0.51683164,0.90324736,0.28151634,0.59529495,-0.42061564,1.4042515,-0.21988809,0.11916087,-0.71633923,-1.1097385,-0.2738689,0.2326313,-0.020066418,-0.3383742,1.1001921,-0.6542367,0.023259245,1.5410684,0.97069955,1.2210017,-0.12061331,0.8049173,0.21455973,0.7517418,1.2494159,1.6899359,-0.5303034,-0.3907251,0.42115638,-0.5001123,-0.78036666,-0.82423455,-1.1416824,-0.06572337,0.092813544,0.52650166,0.7282179,0.26021194,0.6125269,-0.36426318,-0.38213852,0.0705319,-1.3377762,-1.424542,1.1991272,-0.08508349,1.5308224,1.0528766,0.38034967,-1.3379285,-0.18053082,0.50710994,-0.4210808,1.6797038,1.1826966,0.31813303,-0.22238469,-0.3827865,-0.63282996,0.56556153,1.1248919,-0.82351905,0.5676907,0.14654128,-0.25094417,-1.5254776,-0.7507646,0.061702684,1.8994421,0.4843858,-0.22808951,-0.59729105,-1.571336,-2.8397079,-0.23173611,-1.3812503,0.023881527,0.36652648,1.5820391,1.7987016,-0.5392361,-0.5629235,0.91956234,-0.18749514,0.5805131,0.5225575,-1.5236131,-0.29921475,1.3387533,0.38796663,-0.57640904,-0.721763,-0.6735865,-1.203504,-0.0050213337,-0.5671732,-0.03983293,0.8744465,-1.8823946,-0.63738513,-0.010358679,0.59818697,-1.9563174,0.7470434,0.7489851,-1.9416965,0.040552385,-0.678249,0.24669573,1.0583177,0.5972709,1.5508617,2.0106335,2.0762682,0.39295325
AML-57-001,1.9770818,-1.6243696,0.723875,1.6068374,0.7595244,0.16700475,1.244,0.33654615,0.41659015,1.1589302,-0.6052105,-1.2939167,0.57087016,0.6630917,0.6287296,-0.03445261,-0.7827802,-1.3332143,-0.7810105,0.24271964,1.6706474,0.45137966,0.09146357,0.5393982,1.621835,-0.37351978,-0.38261524,1.2074534,0.8813407,-0.09216703,0.9757001,0.011388285,0.6812616,0.6808991,-0.5460776,-0.91081655,-0.43028396,0.16662948,0.5258094,1.4850768,-1.2566328,-0.32858494,0.21139692,-0.034565587,-1.852404,0.3810966,-1.0330158,0.44246796,0.06686604,0.46305406,1.5601475,0.122249044,1.6799747,-0.40279278,0.29261473,-0.60517997,-0.45977098,0.36284503,-0.7762977,0.54465514,0.7547768,0.25138927,-0.44810772,-0.70107454,-0.27754664,0.013627166,1.6261266,-0.28010258,-0.48839775,0.29285514,-0.39945516,0.60288304,0.6046428,2.9603572,-0.09219057,1.0994774,-0.40281934,0.08092614,0.17447147,0.38103032,0.7674617,0.86839676,0.84230506,-0.07504438,0.47808337,-0.514616,-1.0376987,-1.7344929,1.0829939,-0.88011205,-0.80942005,1.2602719,-1.5982189,-1.8042997,-0.05234084,0.63541317,-0.75153214,0.3516629,0.46095836,-0.16172898,-1.4892551,-1.1133947,0.3797284,-0.7237689,-1.1600938,-1.895702,-0.687246,0.40709692,-0.42793006,0.40754294,0.15717158,-0.40185815,2.1936882,1.055944,-1.5979155,-1.8145224,-0.69165903,0.52062,-2.2189982,-2.0430257,-0.42192036,0.08812461,-0.7283003,0.14692636,-0.47974214,3.0015683,2.176643,-0.13644305
AML-22-001,1.112897,-0.25858366,-0.07205727,1.8400466,-0.9682178,1.0482205,1.9585986,0.5098785,-0.100020275,1.0568115,-1.8425895,-0.47344372,0.4440349,1.5572549,2.6498687,-0.03804915,-0.80013126,0.33653995,0.97386247,-0.37163436,0.8519695,-0.49621654,-0.041885156,0.00024546043,1.4316982,-0.18738456,-1.2507656,0.94855946,-0.2395527,-1.1272849,-1.0819931,-1.1634555,1.0935576,-0.48461363,-0.132803,-1.2921853,-0.5023405,0.48808384,1.7156854,0.8633137,-1.2432386,1.4140275,0.32211947,-0.23939252,-0.99190897,-0.77368754,-0.95507455,2.220613,-2.4551103,-0.18831275,-0.22091599,-0.7378862,0.19831152,-0.7046647,-0.24122758,-1.3553712,0.35602015,0.38882458,0.030834302,-0.29832825,-0.07904723,-0.83557504,-2.3543737,0.19748238,-0.18035828,-0.087353684,0.52849156,-1.0823263,-0.22794151,1.8392663,1.3277391,-0.59847105,0.07642726,-0.025176954,-1.6605794,0.7261982,-0.6151058,-0.42584994,-0.041082684,0.019690085,0.6133554,0.5386723,2.190191,-0.8042419,0.348902,-0.16091442,-1.0040951,-0.11126578,0.025436623,-0.58057183,-1.699904,1.5617445,-0.6310157,0.20871228,0.5453127,0.06599923,-1.4644316,0.71430945,0.37864074,-0.9099121,-0.44503066,0.55710065,1.6136792,-1.917365,-0.9774805,-0.21274184,0.6450313,0.021075225,-0.0040217447,0.89748794,-0.014862369,-0.7990397,-0.563971,0.070277706,0.19763167,-0.048213318,-0.16154166,1.4716245,-2.3133569,0.38598323,0.82711124,-0.48326316,0.20643866,-0.2622491,0.07503246,2.2938848,1.9740242,1.1307248
AML-29-001,1.4783753,-0.83770937,-0.6043039,1.2807518,-0.22410432,-0.13242978,2.5260112,0.0011000526,0.34607494,0.39797658,-0.51029754,-1.209255,0.5765796,0.31240043,0.7291374,-1.7633392,-1.3965472,-1.0453866,-0.38771147,0.4559847,0.07521188,-1.0639303,-0.48422945,1.4917333,0.17157531,-2.0860589,-0.27746987,1.3815572,-0.41509095,0.017407669,0.4802774,0.7750351,1.5440905,0.7011212,-0.26616704,0.99629176,-0.44472864,0.17223208,0.08996608,-0.89137596,-1.4929231,1.1305978,-0.0049789636,-0.75421107,-1.4882748,0.14765692,0.40634876,1.6834978,-0.27417836,1.0656836,1.658105,0.40076426,0.43343073,-1.1137469,1.3367009,-0.17687371,-1.0105001,-0.639702,0.625916,-0.04312375,-0.106920175,0.50656205,-0.33228505,1.4643933,0.3757676,-0.33956945,0.5276551,-0.19165882,1.0784423,-1.4720438,0.31334975,-0.32780364,0.48051226,1.4902925,-0.17061621,0.4890668,-1.5930873,-0.7127364,-0.26502377,-0.14127214,-0.28905243,0.12622823,0.8044462,-1.2897688,-0.124491274,-2.3944514,-0.38627514,-0.009199799,-0.3641386,-1.4508934,-0.3990302,1.4426824,0.20128435,-0.17449085,-1.9820036,0.31472814,1.1444641,1.2654685,0.8592845,-0.52073514,-1.5163364,0.58945674,0.76584184,-1.1545235,-2.3094847,-0.56219316,0.74129,1.0169561,0.6600546,0.113845564,-1.4870226,-1.1829209,-0.18329085,-0.78312355,-1.667832,0.37225753,0.4012403,0.44945988,-1.2888649,0.24129309,0.55227023,-0.048345536,-0.30205563,1.0033839,0.86124396,3.8118067,1.0324217,0.4489705
AML-100-001,0.63822216,-0.8647126,-0.36016086,0.67837006,-1.9884528,0.28865808,0.95600295,1.2257017,0.99304724,0.47703725,0.56944585,-1.6208875,1.1429214,-1.0985769,0.4982786,-0.855102,-1.5674921,-0.49382028,1.5354632,0.8310307,-0.054073073,0.93826175,-1.0653411,-0.60496366,0.23352495,0.034090858,0.4819552,2.9421244,1.1505764,-0.9479791,-0.15823604,0.49486932,1.0021192,0.5993333,-0.44729155,-0.8496445,-0.89857936,-0.040310677,0.43217644,-0.13175887,-1.6758835,-0.40172932,-2.25357,-0.53093636,0.19786282,-0.985271,-1.0196509,0.73805934,-1.1422689,-1.4530683,-0.76547855,0.35163113,0.26709062,0.19486544,-1.490353,-0.6377495,0.7590042,-1.0797738,1.2942663,0.78640205,-1.1839024,0.16854012,-0.53599834,1.264134,-0.7714848,-1.4360261,-0.34283853,-0.17930949,-1.3466605,-0.41228193,0.43615496,-0.09559159,1.672841,1.5388694,-1.161883,-0.6422173,-0.69782454,-0.59528327,-1.040739,0.82658786,-0.24000446,-0.26956522,0.31472003,0.4529416,0.055635553,-1.7602856,-0.06577843,-1.2956455,0.18650685,-1.5238423,-0.32161713,1.3924013,0.32974374,0.6561212,1.9605477,1.1241907,-1.3183291,-1.5676448,2.049316,0.18047987,-1.148556,-0.3714516,0.062232874,-1.8130891,-1.5878801,-0.11281786,-1.3461527,1.4557074,1.4475867,0.8858175,-0.37460774,-0.26319402,-1.101594,-0.69605005,-1.4741317,-0.42517236,-0.44556707,0.97349554,0.31417176,-0.35482278,0.12526517,-1.3381636,0.6553177,0.1832679,-0.10738384,1.8508908,0.69145733,-0.07876421
AML-36-001,2.2187014,-0.34456027,-1.7657585,-0.27158043,-1.8447206,0.11141488,0.6406783,0.70501447,0.644559,0.32713383,-1.1138644,-0.35072583,0.19980177,0.024683688,2.4966428,-0.54805326,-0.02762229,-0.54030013,0.9954939,-0.09900916,0.57798994,0.68550235,0.59473276,0.62660205,1.4528648,1.3657134,-0.64012396,1.6831162,0.061889708,0.40642545,0.2750782,0.31176585,1.5658969,-0.8181097,-1.1023945,-0.051707566,1.2746364,1.4392273,0.089942515,-0.19624843,-0.734369,1.7751501,1.5009048,-0.7703204,-0.9638935,-0.2527148,-0.7687067,1.0332111,-0.42350882,-0.6524833,0.25686407,-0.64642787,0.2215124,0.0991984,0.27561906,-0.41911614,-0.13533883,1.0929805,0.45668778,0.276659,0.22582121,0.4985297,-1.8971874,-0.2698784,-1.4395468,-0.12547861,0.9253147,-0.9339205,0.55515116,1.4247288,0.31215158,-1.6507177,0.28578898,0.731242,-2.0622714,-0.00812635,-0.22770117,0.13854027,-0.57567835,-0.9829508,1.5996037,1.0647596,1.803553,-0.18722452,-1.2892522,-1.6504323,-1.3892353,0.5417574,0.652727,-0.45014513,-1.0485421,1.2144973,-0.36147428,-0.5794054,-1.2960495,-0.61540765,-2.2543674,-0.34816727,-0.15403032,-0.17129299,-0.822393,0.18539737,1.9352484,-1.7887027,-1.4061427,-1.8961776,0.5678501,-0.28114915,0.027092382,1.2129225,-0.3072431,-0.082743794,-0.07738547,0.67092484,-0.08511276,-1.2645637,0.78162664,1.7480947,-1.4159478,0.410623,-0.32837862,-0.07576875,0.75924873,1.1895156,0.91192734,1.1665353,1.7619561,1.4641604
AML-30-001,1.0741943,-1.2628952,-0.84861344,1.7248666,-0.07395571,0.82190514,1.5584922,0.10240681,1.2886931,0.57280725,-2.5993872,-1.0359377,0.8558416,-0.48550266,0.5238917,0.3872125,-1.0818876,-1.3423867,0.60705703,0.45404604,0.88307106,0.49054837,-0.10639421,0.023804266,1.0787207,0.36617202,-0.6003762,1.8525672,0.69022906,1.0139059,0.6657645,0.9132665,0.88220286,0.60483253,0.11258419,-0.2786445,-0.5479443,0.42596552,0.57214046,0.28212345,-2.039962,-0.11935066,-1.5876762,-0.683838,-1.4430383,-0.0052627726,0.6526301,1.6248198,-1.9792141,-1.1956302,0.34992152,1.5072094,1.9331683,0.279415,0.18140286,0.5866882,-0.72833437,-0.74395156,0.6924413,1.3597571,-0.87350506,0.27625343,0.06141155,0.19405633,-1.742814,-0.6173623,-0.06091959,-0.5615859,-1.1852956,-0.07589604,0.03283654,0.8151342,1.4078746,2.2445025,-1.009901,1.9634608,0.0009187431,-0.9992034,0.9434335,0.07150208,-0.37277102,-0.58784395,1.1626381,0.096460685,0.3448984,-0.63978344,-1.5591123,0.5944706,-1.391129,-0.64719385,-0.07062994,0.6967796,0.06285157,-0.35263032,0.027538257,-0.13916253,-1.4351976,-1.2072909,0.43494755,-0.42232338,-1.5958022,-0.79722697,0.6544676,-2.1952066,-0.8936266,-0.90661347,-0.29707965,1.4390637,1.206159,0.21244662,-0.90199864,-0.5685337,-1.1778715,-0.39824852,1.133445,-0.06691919,1.4523845,-0.3021651,-0.6981351,-0.14871511,2.5142167,1.0233333,0.21615241,1.5353976,-0.050583057,0.7820601,1.3012542,0.034192532
AML-50-001,2.6800609,-1.7287906,-1.0952306,0.4044493,-2.018891,-0.5910721,2.4526527,0.58212274,-0.39832687,-0.18519993,0.52236336,0.6648489,0.82598996,0.17358088,2.6548398,0.16028124,-0.0024690211,-0.021689823,1.5582465,0.5722347,1.1271222,0.00071559125,-0.038785413,0.3570408,1.2704787,1.0004597,0.5655411,0.8281732,0.5293935,0.15794256,0.36528805,1.5581992,1.1833304,-0.011336605,0.021550728,-0.46683586,0.45480552,2.1768417,1.2519245,-0.67736995,-0.38199914,1.0724534,1.445374,-0.78579146,-0.420314,-0.32785735,-0.6478729,0.93788654,-0.27579027,-0.994376,1.2171901,0.31574434,0.7409632,0.60208833,0.1697216,1.4205611,0.09673983,0.86959857,0.7544249,0.4985333,1.0392191,1.406388,-0.5693783,-0.88791037,-0.09482966,-0.18785359,1.0264056,-1.0081284,-0.16622733,0.26621842,-0.12466242,0.32809812,0.22176698,1.4071538,-1.1040643,1.1353612,-0.15377976,0.55670744,-0.92996335,-0.48954746,0.69843024,1.8250917,1.0302511,1.1401088,-0.21033993,-1.5828506,-2.6990504,0.15642384,1.9332173,-0.9586332,-0.20389375,1.7251633,-0.6852154,-0.5272559,-1.2958101,-0.69562787,-0.47563645,0.5636765,0.47102624,-0.278023,-0.21889634,-0.15459253,0.27201593,-0.78264654,-1.4226627,-1.7060051,-1.6218352,0.7693211,1.0269868,-0.11016428,-0.94476104,-0.07989279,1.6868885,-0.0059039127,-0.68512005,-2.1451876,0.6247281,0.15501726,-0.09649536,-0.32123828,-0.10356217,0.7554262,0.32106903,-0.020843918,0.2549185,1.7181972,1.4175047,0.018685337
AML-81-001,1.7220984,-1.4598765,-0.5000136,1.0980693,-2.3387141,0.85733515,0.739132,1.0878861,-0.10349276,1.2939975,-1.5146639,-0.10784245,0.89793813,-0.15775882,2.4586399,-0.028024485,-1.3833538,0.6694255,0.8456793,0.32486248,0.49005345,1.1709676,0.29958817,-0.22577436,1.6924798,-0.2985938,-0.7670652,1.606425,-0.54219407,-1.0501657,-0.35739568,-0.4809443,0.6191399,-1.1181654,-1.1480583,-0.9116068,-1.1035228,0.9401316,0.7035348,0.081056856,-1.1348335,0.2946341,0.9958224,-0.62874544,0.13797718,-0.4783442,-0.14121917,1.5358728,-0.32750344,-0.4077069,-0.10683463,-0.70219,-0.11435283,-0.14806108,0.52910745,-0.09114471,0.11653651,1.2463913,0.18279,0.10671263,-0.17584886,0.06345855,-0.45980632,-0.37679392,-0.69354326,-0.94376457,-0.8302252,-1.97484,0.8699834,0.7541465,2.1309357,-1.3487271,-0.25923005,0.05318669,-1.7224611,0.025037127,0.4070909,-0.4068072,-0.9811526,0.052055698,-0.06408111,1.2958952,1.2389355,-1.2514719,0.3347706,-0.9971269,-1.9344225,0.5008798,0.8980475,-0.011461951,-1.6882898,1.5719044,0.069529876,-0.008423781,-0.12299434,-0.46744522,-0.7120895,-0.6814158,1.018168,0.22488905,-0.3835639,1.4166205,2.1058505,-1.1986834,-1.0032815,-1.6584418,0.06364353,1.455671,1.4043452,0.6437879,0.38312796,-0.735643,-0.4543497,-0.6408451,-0.33193442,-1.2987025,-0.3601401,1.4264101,-2.264689,-0.88120633,-0.015473255,0.32343212,-0.16399984,-1.0158955,0.4555452,1.9345906,2.374266,0.6725026
AML-33-001,1.3914586,-1.2889848,0.21402512,1.3332597,1.4732095,0.22964023,0.8664496,1.0712769,0.015428723,0.76162225,-1.6971153,-0.7607372,-0.29721898,0.8101416,0.5546185,0.2470548,-1.1541137,-1.0376927,-1.418087,-0.120765276,1.2647723,-0.33668995,-1.7435838,-0.27559432,0.38482368,-1.054844,-0.09886942,1.6938499,0.30861726,-0.2933506,1.7182449,-0.2606641,1.094844,1.5322851,-1.2182996,-0.71399075,1.2710047,-0.1324952,0.36822927,0.880827,-1.5023518,1.5881047,-0.49713346,0.16103639,-1.3113487,0.18582436,-1.2927266,0.304331,-0.8463402,0.4982573,0.36804968,0.41579962,1.3580135,-0.96305174,0.7067147,-0.17604935,-2.2279744,0.08289931,-0.2014445,-0.083644636,1.6050549,-0.44907153,-1.0100466,0.22037566,-0.42901552,-0.10370569,0.014424481,0.8599102,-0.99384314,-0.9457795,-0.028757548,-0.64809155,1.0240906,2.4367092,0.5761426,0.17259148,-0.22807246,-1.3033055,0.42243433,0.47553435,1.2178524,0.84408677,1.2500967,0.002731674,0.37788504,-1.9391977,0.09394875,-1.350553,0.20604515,-0.5797713,-0.5348704,1.4707189,0.6762617,-1.7451485,-0.28817475,0.23620701,0.39774486,0.5302578,1.0558875,0.23046522,-0.8765067,-1.5626425,1.3802004,-1.494654,-1.491636,-0.92137086,-0.20322785,0.17093024,0.69645643,0.57579046,-0.5618048,-0.2574622,0.5708269,1.0514008,0.13902561,0.0837964,0.13963653,1.6152047,-1.2464088,-1.357688,0.3889634,1.1241704,0.49275985,-0.17275399,-0.4366073,3.1571574,2.284661,0.22925049
