,AML-73-001,AML-57-001,AML-22-001,AML-29-001,AML-100-001,AML-36-001,AML-30-001,AML-50-001,AML-81-001,AML-33-001,AML-43-001,AML-98-001,AML-122-001,AML-119-001,AML-108-001,AML-77-001,AML-93-001,AML-59-001,AML-55-001,AML-111-001,AML-112-001,AML-94-001,AML-35-001,AML-19-001,AML-121-001,AML-110-001,AML-62-001,AML-82-001,AML-113-001,AML-109-001,AML-72-001,AML-104-001,AML-40-001,AML-05-001,AML-52-001,AML-66-003,AML-07-002,AML-48-001,AML-87-001,AML-78-001,AML-18-002,AML-17-001,AML-85-001,AML-71-001,AML-96-001,AML-97-006,AML-64-001,AML-15-001,AML-58-001,AML-76-001,AML-04-003,AML-89-001,AML-60-001,AML-83-002,AML-115-001,AML-114-001,AML-99-005,AML-116-001,AML-79-001,AML-44-001,AML-06-001,AML-26-001,AML-47-001,AML-45-001,AML-80-001,AML-51-001,AML-107-002,AML-38-003,AML-102-001,AML-24-001,AML-67-001,AML-56-001,AML-20-001,AML-25-001,AML-39-002,AML-120-001,AML-86-001,AML-42-001,AML-88-002,AML-09-002,AML-92-001,AML-65-001,AML-02-001,AML-13-001,AML-37-001,AML-01-002,AML-118-001,AML-27-001,AML-74-001,AML-46-001,AML-63-005,AML-41-001,AML-84-001,AML-75-001,AML-61-001,AML-12-001,AML-08-001,AML-54-001,AML-69-001,AML-95-001,AML-31-001,AML-49-001,AML-11-001,AML-123-001,AML-03-001,AML-21-002,AML-91-001,AML-105-001,AML-32-001,AML-106-001,AML-34-001,AML-14-001,AML-117-001,AML-16-001,AML-70-001,AML-53-001,AML-101-001,AML-28-001,AML-10-001,AML-90-001,AML-68-001,AML-23-001,AML-103-001
AML-73-001,0.0,0.6052190597227602,0.6072785342109204,0.5532749830030751,0.7423528949322653,0.4936602712551801,0.6863442299831026,0.4369816845060164,0.5630928131608305,0.6009416777693246,0.6024285933596646,0.5748794599842628,0.2860546171863909,0.34520460478649706,0.5849827227722207,0.5723021646034139,0.5892305431850478,0.6386006297520732,0.620283505077992,0.5750774092100153,0.6300656970162717,0.5583625793181461,0.6492198755851666,0.5667793508200883,0.5091885159324897,0.5713096869004111,0.6531860572308581,0.5265029849087403,0.599939300409468,0.5818377052457321,0.5708791939611547,0.46215818737797565,0.5893981262432917,0.4943980978775392,0.6226666276866966,0.5856336557904973,0.5940506567330036,0.5955102221176847,0.6016182316805756,0.574856140722801,0.5753402929827821,0.6856426345520285,0.5432364394168738,0.6627889608228883,0.6143731373286325,0.7663192733181616,0.6462155096204298,0.5924931981069588,0.5827375374259398,0.5806920796831432,0.47877334155917906,0.600173343590432,0.6047987740337064,0.637488338181182,0.6026187259300199,0.6359033168632616,0.6733234232948737,0.5648993958691745,0.5285627285925363,0.6076703862555723,0.6013049720775747,0.6412957632820393,0.4268358886471316,0.6108487720853547,0.6014920430934385,0.7102897375697538,0.6182714368160205,0.5886276833769635,0.49926292303107445,0.5252608778254181,0.6027331726257563,0.4651386997074207,0.6988940463151428,0.6288069783104984,0.3372252874427425,0.35340192375376456,0.5480014818094807,0.6080933734287824,0.4192107269844365,0.4120169716356994,0.571827883911789,0.6352196497847713,0.43265473845748725,0.5995927075964964,0.7047545457021078,0.5440022942322171,0.5761752542029576,0.6739310169514541,0.715160057394393,0.5812405576668993,0.5323292710180858,0.7089687942680336,0.5923822191330459,0.6964321460018893,0.6689170249420309,0.4171611891396223,0.5508000007284346,0.553796149442539,0.664617410482917,0.6122385984547389,0.7362893693074899,0.66410923206015,0.6054856908960473,0.5950557417338391,0.5795637704532957,0.6679480451423332,0.5841481063349631,0.6770664472660242,0.4957263160505271,0.5311943023347194,0.37615608479119766,0.6299091320696226,0.5523497826473476,0.6225044009469187,0.6160349571771395,0.627573594174047,0.5719059363082399,0.683220762991243,0.6071787830899287,0.563091612583335,0.7191140114984323,0.633462691567197,0.6746177164202811
AML-57-001,0.6052190597227602,0.0,0.5510902983683155,0.5280875752979886,0.6953705262351686,0.583783185744899,0.5743055943704949,0.47483405531752676,0.5916236598031935,0.3011077170169294,0.6588660990334798,0.6039287686444295,0.43625724481801387,0.46269527217600626,0.4219799751264347,0.6163120873023362,0.5682657321987775,0.6229972093155949,0.3967184080310412,0.6147412569657869,0.5183925786213649,0.4929230134573127,0.6677878808236201,0.6202159010862702,0.5614114089754909,0.5730730062703955,0.47293721531908295,0.5916211670689455,0.5674356214365635,0.4341914349989674,0.49322357701133435,0.5966285810355214,0.5824101973638246,0.6193309925870409,0.555143377584512,0.5467457272609744,0.5318233631901224,0.5901048842557755,0.5933795755793377,0.6110011602332444,0.6635370768602149,0.6169668506864803,0.5706958032404459,0.6382946844171036,0.6467490335004085,0.6160148764889948,0.5807340427494068,0.462393273281941,0.5333768773093619,0.6228192404338122,0.5835232935458308,0.6213421989635532,0.5615205467667503,0.6902501511106016,0.43559077305315164,0.6219637853227719,0.6326599991691032,0.49309996841625636,0.5534763887207126,0.6476661955403089,0.6184819815449559,0.6010395686906609,0.5003251342355691,0.6208373272417402,0.4779177249320452,0.5984311546738702,0.6114539183586214,0.6019630741952255,0.5183127663354247,0.6396759368175091,0.6284095141991792,0.5912485498238922,0.5085944167861388,0.6068764117968615,0.6033299785341784,0.5988367960811629,0.5281810162285301,0.5933154941699432,0.5446391648334121,0.5158890141770154,0.6086742450373086,0.6385309885224665,0.6051596202944559,0.5386233979462516,0.5171845116099725,0.47599762127373,0.40483152249538246,0.5295610987367159,0.6146918627027999,0.47295090718996446,0.44191988828037876,0.6095929312605057,0.6522024407252379,0.39816549069568896,0.6994594361913109,0.5642528111236341,0.5906413127220352,0.47326249222084316,0.662941528922281,0.6229842641991998,0.6375565347697373,0.5221737400483848,0.24345830281148806,0.6089574992866076,0.48138031631518885,0.5243172141363968,0.5774448187749162,0.6727042518948287,0.6291724292892769,0.5208030104149177,0.5833833915331866,0.543525692967007,0.6038890245318405,0.7030266427866751,0.5634332897463343,0.6422943510115426,0.5579294670978239,0.5291366714234527,0.5092061197519604,0.4896837578112978,0.5454339046062822,0.6632644418361096,0.6255321116421636
AML-22-001,0.6072785342109204,0.5510902983683155,0.0,0.5794641406320938,0.6358769369986224,0.35715719240634636,0.5742076120245825,0.6094514657971051,0.2821994260479481,0.5631595857185413,0.5698144003975177,0.572468674607586,0.5815049624428511,0.6015809861117923,0.5754375959252864,0.5778546712318724,0.5576926438414302,0.5838796769535488,0.5585910422191591,0.575167435972096,0.5729819582320519,0.5154621640273191,0.41938497196425273,0.5646866757324891,0.6582112702109248,0.5500688414341175,0.5533660903344804,0.6277184467686874,0.5841286571685904,0.5796308675510214,0.5806761697034291,0.5288603929904805,0.621443505966017,0.4889007339928071,0.6041202023118855,0.5707929075700728,0.5646988473555898,0.4104318581948613,0.582011020145405,0.5470719363866483,0.5521322542856647,0.43378730244015096,0.5344954679353813,0.3873164196098806,0.3416922427736002,0.5966925001714187,0.5716166798657272,0.5711168056880265,0.5812181118931663,0.49397681961322815,0.5981444564063809,0.5672038381340243,0.5895242096049311,0.48381694429840716,0.5825921744693627,0.526764628678299,0.5544043918048724,0.5280187677705919,0.5648316706005014,0.6038989057560756,0.2522615907036313,0.5210553458556976,0.6162968374321528,0.31753698257418683,0.5762232839452109,0.4863942151182379,0.575284531786824,0.45194091340112374,0.6183048974818623,0.6098578492632043,0.4328878499065112,0.5176441326675942,0.5205813334540019,0.5637390618302529,0.5788702495423498,0.5844240131858138,0.5792048269760692,0.418743771745562,0.6125943732383122,0.6002660656599648,0.5491497074344565,0.5721833644332599,0.5730860413783478,0.579126882990731,0.5451870299565247,0.5453787852049619,0.5569503475465316,0.5967168761433208,0.4577154257964464,0.5721268804837982,0.5653336635599759,0.4344028272668581,0.5816302944908665,0.4438458475601683,0.6405688756266245,0.6522963106581711,0.565699185620905,0.5660488402987216,0.4223058283068075,0.5778508195336554,0.593342651915514,0.41663230494729453,0.5558346986681948,0.5909130951388553,0.571483245082776,0.5511220946268143,0.5776237800849917,0.5909558869927465,0.6202498632070377,0.5439163331059561,0.3048621941977333,0.3505237441148046,0.5905217665721252,0.6019280441045898,0.5337972391539267,0.40877532968448194,0.5566789985689596,0.5720832839622247,0.5608154345757016,0.4858917421243958,0.5905777836410311,0.5406425018754404,0.5426334588649986
AML-29-001,0.5532749830030751,0.5280875752979886,0.5794641406320938,0.0,0.6463487805290407,0.6116435824535752,0.5578171951448472,0.6027250667850934,0.6067503455139897,0.43787187446933706,0.5908567226596759,0.567606956987909,0.5938563291505625,0.6036370708658874,0.5112450293007825,0.563109751625549,0.4937950694725918,0.5802326504580924,0.3867849213901422,0.5372510579196279,0.6352137103721639,0.5790559297989365,0.6675656739891398,0.573113215008457,0.6745240490935273,0.5871531414179525,0.6305405532118056,0.6735078850170106,0.6464073919454827,0.5258650708367014,0.5814249654591672,0.5006953600180317,0.6745150713909079,0.6477592236437774,0.5747548273967136,0.3501785206434511,0.490916271783548,0.572968023215678,0.6328939582631423,0.5708766910909333,0.474120522350047,0.6804926753991943,0.6319057596004567,0.5271709943214631,0.5868041538659242,0.7305365034008267,0.5920573535737166,0.6163339070247112,0.46775831253301325,0.6741518828761317,0.6145273896216914,0.681609859084567,0.4352301107765213,0.6110636804682354,0.5515612509537435,0.6091566945888027,0.5023689750510762,0.6520616591741993,0.5946668781007386,0.5982831755692664,0.6181699208007934,0.6813756980668071,0.5467008734746952,0.4287241423851639,0.6554068611986452,0.7066466599258694,0.5958761531627641,0.6038725451152551,0.6029598809812535,0.639904710975935,0.5899010744839586,0.49712168049502437,0.6500401885094611,0.5587981981956833,0.6033540702145019,0.5316945071795351,0.6266602335431644,0.573222942728024,0.6361248729190534,0.6259849772584224,0.584155487094624,0.6224770939361071,0.5551590971240395,0.5601720036773037,0.6877484375476025,0.5726002116447935,0.5654203759049159,0.6179065176590558,0.7153427750502744,0.5738058097271723,0.5062809072644683,0.6109601545867859,0.3397998894238571,0.6215526717437077,0.5701649446400578,0.639189752425358,0.5120010457349919,0.49885460415116034,0.6128145281569743,0.6402225737151479,0.7127186573801104,0.626251166310083,0.5313036533588046,0.611874575791908,0.5850495244989072,0.6345164904685745,0.4685102222060631,0.6008352219513304,0.5682459036149657,0.5234707559524148,0.611472160785812,0.6697555672376749,0.5282360771490251,0.5766358220486544,0.5714676979515894,0.6328314460873761,0.5580430802033799,0.5556347839242255,0.5292838592969946,0.6037283544323633,0.6936129611877659,0.605188271981375,0.7383346039742145
AML-100-001,0.7423528949322653,0.6953705262351686,0.6358769369986224,0.6463487805290407,0.0,0.7126534848993678,0.489936821757725,0.7033101591606941,0.5863636778763789,0.6748814518216208,0.65384939972631,0.6334530097085409,0.6834473906345804,0.7330197845939209,0.5315450565952666,0.611300925709692,0.5303021540652283,0.7170099159820877,0.6386306659506886,0.7154748060689202,0.4865411761753564,0.5659970720821148,0.563821810731896,0.6721453680759573,0.6468167207005975,0.7175821727071041,0.5986971082179806,0.6251478981078695,0.6749587725432695,0.5178948460794982,0.592059290845141,0.592663020044675,0.5131088539260799,0.6896128015361168,0.4249055173923194,0.5952053438620246,0.6882319316593255,0.6262889624782431,0.6976623460647344,0.711361160449486,0.6557129438089537,0.5980094232242346,0.5478627691084135,0.6534066101342503,0.6888938424558332,0.5871752047474392,0.5519666144703099,0.7030370668060706,0.6818801067286238,0.4953678811965394,0.5891146875243763,0.6522634319853073,0.568032292071235,0.588202610075526,0.5459205314151103,0.5818243820719167,0.5493841599829616,0.46995257410380864,0.6715022971261201,0.6551076274388241,0.5119692973364929,0.6415561984659932,0.6815549251753288,0.6551086874451933,0.49619669718889337,0.5039756271352238,0.6388539942914374,0.5954377807028299,0.6595980391850754,0.628286121375226,0.5961827214642492,0.5926615183711096,0.5822615483234821,0.6497107007804221,0.6302374249510423,0.6661923024004306,0.6879439987240177,0.6554084012743404,0.5244822235879277,0.7156019664354503,0.6255324569630529,0.6599602642777475,0.7306244032160718,0.6344001393059522,0.5949697461470068,0.6073654856113655,0.5254686268063411,0.5846691981419031,0.6477945881287482,0.5958752877880515,0.6113899485762435,0.6746319632379545,0.5842780201959151,0.6324540825763354,0.6087269546135854,0.6554133351369515,0.6298038554527582,0.6740115910763744,0.6691407067374875,0.5209905918420056,0.5758456998399866,0.5618784239047525,0.7535719974722772,0.6854993271439014,0.6143497624945344,0.5474377103460437,0.536843199945134,0.5684058109219603,0.6110087577304921,0.6998311453280586,0.6637474027678674,0.6142334280365608,0.5935295635514449,0.6456931777492234,0.6399035888760762,0.5068230127955726,0.7060180852305882,0.5017767284785303,0.671207268378208,0.5053991080220492,0.6157761313130632,0.6792386326244424,0.44480067306383475
AML-36-001,0.4936602712551801,0.583783185744899,0.35715719240634636,0.6116435824535752,0.7126534848993678,0.0,0.6078485063985128,0.34579478619335313,0.3275364666545406,0.6229415202944043,0.6548445424577749,0.6062538171746548,0.6183598507523129,0.6067430908325102,0.6307109276220648,0.6047716298074743,0.6067554425822475,0.6302741587365781,0.5972797873022482,0.6081825724647134,0.630627056868435,0.576150257662188,0.4822294422329575,0.6819231686438683,0.7181076158768753,0.6524050276110217,0.6018962971702438,0.5834869584425193,0.6268633107250425,0.6254961108671053,0.5941245376011726,0.5828246474284238,0.4914785923019561,0.2627233486348929,0.6638324083630234,0.5849530972161188,0.6251244740194535,0.6937159173084404,0.6753981151644324,0.614815904962271,0.6459624445820839,0.46896357733093186,0.6082621030113727,0.41850861702338016,0.37566230995579597,0.6891330386282515,0.6023168525437843,0.610467827676217,0.6815551788574872,0.44770759794630643,0.5467351141270229,0.5855700110509503,0.6583601902596774,0.5266769413125559,0.650336038325166,0.5800424928771636,0.5842179967149258,0.5811895739534413,0.5899316133695691,0.6342100507268862,0.3504634456627852,0.6083270412390951,0.5311301832219916,0.5645325577334426,0.6594291735627484,0.46649930821473284,0.61082398639787,0.47873441508026104,0.42531319133267065,0.6408695445265755,0.6854950152117828,0.5881153059140545,0.562611466381832,0.6348824972297802,0.6294957636367997,0.6169338227313437,0.5978348850398174,0.465416681241817,0.6807960622997007,0.5571835683174817,0.5779352849825075,0.6519789047049342,0.5738455809129801,0.6304074459620919,0.5989523570599622,0.6241821879896211,0.6236336746509111,0.6761038571510767,0.7192296200759789,0.594384235042567,0.6135892893674966,0.6363068237827985,0.6351438574851559,0.49888292832687364,0.6159627103922803,0.530432078315618,0.6332606493295216,0.6719820013742085,0.4775297501462248,0.6414382174298241,0.6758099915384583,0.4929808570820725,0.6385016466684239,0.6779854636152916,0.6384222931054573,0.6423924494599378,0.6159271729394433,0.5996182106126373,0.6389164269767285,0.5844328239988883,0.38512743847719977,0.6002244936080539,0.6107533544150701,0.6573994390908621,0.6350003908433539,0.5382046631114903,0.6416507125662794,0.654023263673162,0.6439452409646912,0.5411442011629528,0.7664117093221784,0.5568211423051046,0.5723837956245692
AML-30-001,0.6863442299831026,0.5743055943704949,0.5742076120245825,0.5578171951448472,0.489936821757725,0.6078485063985128,0.0,0.6306033428883804,0.6306115545325373,0.5365761616679886,0.6725380916985162,0.6327767376537259,0.5500808055343787,0.6005003782760413,0.5419736255786024,0.53831131937555,0.578518492707667,0.625252113574142,0.6098095843448407,0.6470827018621256,0.5848260111998966,0.6411415963193361,0.6013522974598369,0.7048041635121655,0.5191550809762814,0.6619992766832765,0.567717841674043,0.5144413816655252,0.5658767712782335,0.5342965079350871,0.5474882338773992,0.5319980086506778,0.5110397031011475,0.6554880315786893,0.5700997661293956,0.5885212106748811,0.6450031153786322,0.5758508280004141,0.662378385525985,0.4251710057450804,0.5940899964098523,0.4742633467987517,0.6118196367185169,0.5353776266982844,0.6165373035820982,0.5121064461464824,0.4866120363895121,0.5702273132091422,0.3944034938728087,0.5342355143266773,0.6875225581141162,0.5577796943480249,0.6586795917067133,0.350671943142581,0.5494208240088856,0.3633495701399442,0.5040165706980128,0.5643704045308675,0.6223771767025632,0.6643848509061228,0.5988112460054175,0.385188470362681,0.5951035892311173,0.5736773796750533,0.5895672663702496,0.3891811674536203,0.6251853210931734,0.5845588193896905,0.5281181835214213,0.5740146388410352,0.5725606223092867,0.53158278861443,0.20965362260790232,0.6539652663885116,0.6685980155195178,0.5787982919129522,0.6458730807682004,0.5916721666818979,0.5953930519179309,0.6265729569066857,0.6055684569109403,0.4101573338146096,0.49159433445507583,0.512314865540318,0.3816051772941188,0.5695957416561059,0.5925816057999096,0.4614681069589097,0.606679534188397,0.5359222536396069,0.46864399081934405,0.6299480248649607,0.5869848485429985,0.5937032888632509,0.48771664800336145,0.6783568479211105,0.6008940324668952,0.7071812712209609,0.6179042011299015,0.6506008257752525,0.48728592923005176,0.5167604635870489,0.6833490558422666,0.4642706321387784,0.5983194569297376,0.5628105003909561,0.6613522900259313,0.5117918925787421,0.5657189834845857,0.5999282133842254,0.5752865472794318,0.5973880480367929,0.5030858385811405,0.5688853990073107,0.5488228110709197,0.5746221132280234,0.6621839331842636,0.4059899949140824,0.6768228428391885,0.5308129666860679,0.4733325645094827,0.5681109377728901,0.5705348231904872
AML-50-001,0.4369816845060164,0.47483405531752676,0.6094514657971051,0.6027250667850934,0.7033101591606941,0.34579478619335313,0.6306033428883804,0.0,0.4589576408416548,0.6658308024517643,0.6170649162471447,0.599330236474946,0.49547393973839504,0.4801611934572292,0.5150633506028177,0.6637744939542791,0.5618447792407821,0.6449641786704172,0.6079994645551497,0.5903912270246192,0.5528163932676078,0.5562012035852761,0.6425295568774616,0.6432600161360753,0.5181832732951391,0.5665685756789033,0.5245872416857622,0.5091036785388443,0.5299222050176791,0.5105380740213485,0.46153581845664016,0.5565609576034096,0.6142401968856306,0.4538849508725541,0.5598840074690095,0.6581423219207051,0.6544150829559554,0.6270669965820979,0.7069520979233119,0.6266259684037985,0.6204129611257254,0.5972997958103893,0.6407763258410616,0.6816024328170758,0.6559302858572864,0.6803642854762404,0.7364230010141611,0.49087882558410056,0.688019369469366,0.6708536030235874,0.657654015116717,0.6571825495248833,0.6019081882690578,0.7643671871089035,0.5319218989923129,0.6647085895523765,0.6558445786380658,0.4911259194998001,0.5532209975473985,0.6405266731804931,0.6611694319848307,0.6491510324287018,0.41735022764410745,0.6462634051594376,0.5375482817192978,0.6542493505457697,0.5927141928032611,0.6084128727191267,0.32959654886279444,0.5762996742528035,0.6496306629032973,0.5664297953726749,0.6442751685873449,0.6204667388138515,0.5993170593975159,0.6575263538948498,0.5556096881748454,0.6251804339842034,0.5811758724874043,0.44133090185665713,0.6096938414796718,0.6628797432147614,0.5606082395241019,0.5141991862359361,0.6411278426133395,0.520568290695762,0.5046809829883103,0.5906592037464761,0.6610896665763817,0.47947159834223285,0.46823216719649596,0.7274455383676262,0.5945440308800327,0.5908969333933511,0.6695390460499857,0.4322832562417054,0.630339991425849,0.5897713872728243,0.6546970665910471,0.6329128094970209,0.6760875163314435,0.5753632239553352,0.5860950843038941,0.6526791488741097,0.5065509200219909,0.6021865349890726,0.6163688371613564,0.7223806774145978,0.5633803727887361,0.5390220689236314,0.6277563000832393,0.6327362162246252,0.5831769122742376,0.7007923642484744,0.6759820500418174,0.6898118792425472,0.5719290084566674,0.5517181799520257,0.632865668148772,0.5070617373270578,0.6591065585303741,0.652824836892979,0.7087228220166003
AML-81-001,0.5630928131608305,0.5916236598031935,0.2821994260479481,0.6067503455139897,0.5863636778763789,0.3275364666545406,0.6306115545325373,0.4589576408416548,0.0,0.6686835704241219,0.5743427042586323,0.6215581757208378,0.6285517730239913,0.6366661213007018,0.6082424672317001,0.6329205713307897,0.5948108255003506,0.6280781681601144,0.5926779153996746,0.6207078474333002,0.580162705737238,0.5548897472479596,0.5221014598351501,0.5741150951812953,0.41817330571310396,0.5375814478153387,0.5394472119712479,0.6051887561340965,0.6271794453157582,0.6033615177509967,0.6180041019595645,0.5670816158823363,0.4170347597786057,0.28914766075442366,0.5849899255124034,0.6254530329337845,0.6624253712217061,0.48293106056577373,0.6106944869255971,0.6099295067724411,0.6286947244107,0.5655067792590187,0.5896070359591569,0.5354563165052671,0.29289692856796934,0.6382522725009863,0.6638848694567756,0.6088178511096236,0.6276674408766183,0.30711721634786115,0.4914011953900871,0.6294483264105579,0.5653679825798514,0.5931278560645759,0.6281770770568488,0.5722121903465254,0.5772003350430102,0.5831134334574306,0.5740887972803399,0.59976037202537,0.3494678675165269,0.3506306924880469,0.5851208743617142,0.4581948736747087,0.6150193947416731,0.3638857531059445,0.5872511294744618,0.4348229950311264,0.5308756885549293,0.5331801461344174,0.5679501259265511,0.5887529556955875,0.626633883074937,0.5623515440268929,0.6034135817524886,0.6477543856240573,0.6457927936401002,0.5300666811550342,0.5829752697211539,0.5667526966121696,0.588847828181964,0.5519075729702136,0.5843689998630537,0.6301409981980364,0.6159842424418631,0.5248171300775237,0.5862582782590273,0.5664014971706086,0.5703209886136111,0.6072009730420007,0.6144090437235838,0.5818594606698096,0.581392528258111,0.5814159944045089,0.667426251348801,0.6242151976058141,0.6314763141331059,0.5571156659668821,0.5184511498712268,0.5742740086375526,0.5750522783678675,0.5214849563479449,0.600601854719035,0.6382883085821713,0.5531166921512638,0.49547116196856245,0.5790089533669688,0.6356460107802497,0.5073200787243546,0.5915342010710853,0.4618751298759638,0.5084721262353151,0.61519305534811,0.6408217680900332,0.5754603581152435,0.4125213683172402,0.5601515598056163,0.5861133795082438,0.5913958460047539,0.5447669629260158,0.5611190212331214,0.6365527880155091,0.6047133987771469
AML-33-001,0.6009416777693246,0.3011077170169294,0.5631595857185413,0.43787187446933706,0.6748814518216208,0.6229415202944043,0.5365761616679886,0.6658308024517643,0.6686835704241219,0.0,0.6943686026395551,0.5453739916541616,0.564845202667088,0.6346139706280385,0.4937962111707397,0.5453165829656503,0.5106181750647191,0.5434032587172379,0.42915928106790113,0.5821351328115538,0.639727026849561,0.5537924817035421,0.7025461017166563,0.5178657607887401,0.6941890543858669,0.5878256141038152,0.6390177038371665,0.6929384400828191,0.6367959413556947,0.5063658319329669,0.6362695542228409,0.54148757432003,0.6411325837349784,0.6811019394672,0.6153515325499357,0.6148520833141089,0.400223014681538,0.5327671341596416,0.5963385035897893,0.5994192086590854,0.5278408889666075,0.6958770980451002,0.5801163254419645,0.4966297257295753,0.5915794745284964,0.7245325420379255,0.5983797871214216,0.6417677078416691,0.4609779854464905,0.6601524963334604,0.6063381800589936,0.6748746284407828,0.5976816561567573,0.609253739684307,0.5369203420601631,0.6704772049004439,0.5563535730751724,0.598578373879251,0.5723800425943498,0.5473527585255367,0.5985247238873523,0.7315641755586709,0.6195985474913956,0.6990875241266473,0.622821602147815,0.7443597921868483,0.6377492901100328,0.6109536468751966,0.6598550210445576,0.6840386166311636,0.5926365728418987,0.5368589684461598,0.6621414889290099,0.5417491995446735,0.6501403095630622,0.5522124258959336,0.6017581790375224,0.6003165785579857,0.666513467706731,0.577910400727057,0.5589639251631953,0.6403004802265526,0.5756083383032301,0.546771239943497,0.6497814333732502,0.5944491759288854,0.5275796983230348,0.6617948992436984,0.7238275354373234,0.6187233959138532,0.49599561562462835,0.6053551522009512,0.5098630083444434,0.4763773901437828,0.6260629334087604,0.6286664192125357,0.5459456440647994,0.5748634489976376,0.5806388498222554,0.6521312897979867,0.7063050097146863,0.6464204794672941,0.33511271735032655,0.5361287029845896,0.6261832957192268,0.6675934177128492,0.5629053670515654,0.5932475622433289,0.541772695920836,0.5296043823129334,0.617821732801275,0.71021660891715,0.48493442386915453,0.6281248682116182,0.5296792714673141,0.645814705197546,0.6218357183783145,0.5601743297131153,0.5616293170282174,0.6183526952895013,0.7008234903412982,0.6886654283649325,0.6920681118384364
